-6.000000 0.013528 0.000000 -nan -nan -nan -nan
-6.000000 0.061540 0.000000 -nan -nan -nan -nan
-6.000000 0.109555 0.000000 -nan -nan -nan -nan
-6.000000 0.157575 0.000000 -nan -nan -nan -nan
-6.000000 0.205600 0.000000 -nan -nan -nan -nan
-6.000000 0.253633 0.000000 -nan -nan -nan -nan
-6.000000 0.301674 0.000000 -nan -nan -nan -nan
-6.000000 0.349725 0.000000 -nan -nan -nan -nan
-6.000000 0.397788 0.000000 -nan -nan -nan -nan
-6.000000 0.445863 0.000000 -nan -nan -nan -nan
-6.000000 0.493954 0.000000 -nan -nan -nan -nan
-6.000000 0.542060 0.000000 -nan -nan -nan -nan
-6.000000 0.590183 0.000000 -nan -nan -nan -nan
-6.000000 0.638325 0.000000 -nan -nan -nan -nan
-6.000000 0.686487 0.000000 -nan -nan -nan -nan
-6.000000 0.734670 0.000000 -nan -nan -nan -nan
-6.000000 0.782877 0.000000 -nan -nan -nan -nan
-6.000000 0.831108 0.000000 -nan -nan -nan -nan
-6.000000 0.879365 0.000000 -nan -nan -nan -nan
-6.000000 0.927649 0.000000 -nan -nan -nan -nan
-6.000000 0.975962 0.000000 -nan -nan -nan -nan
-6.000000 1.024304 0.000000 -nan -nan -nan -nan
-6.000000 1.072678 0.000000 -nan -nan -nan -nan
-6.000000 1.121085 0.000000 -nan -nan -nan -nan
-6.000000 1.169527 0.000000 -nan -nan -nan -nan
-6.000000 1.218004 0.000000 -nan -nan -nan -nan
-6.000000 1.266517 0.000000 -nan -nan -nan -nan
-6.000000 1.315070 0.000000 -nan -nan -nan -nan
-6.000000 1.363662 0.000000 -nan -nan -nan -nan
-6.000000 1.412295 0.000000 -nan -nan -nan -nan
-6.000000 1.460971 0.000000 -nan -nan -nan -nan
-6.000000 1.509690 0.000000 -nan -nan -nan -nan
-6.000000 1.558455 0.000000 -nan -nan -nan -nan
-6.000000 1.607267 0.000000 -nan -nan -nan -nan
-6.000000 1.656126 0.000000 -nan -nan -nan -nan
-6.000000 1.705034 0.000000 -nan -nan -nan -nan
-6.000000 1.753994 0.000000 -nan -nan -nan -nan
-6.000000 1.803005 0.000000 -nan -nan -nan -nan
-6.000000 1.852069 0.000000 -nan -nan -nan -nan
-6.000000 1.901188 0.000000 -nan -nan -nan -nan
-6.000000 1.950363 0.000000 -nan -nan -nan -nan
-6.000000 1.999595 0.000000 -nan -nan -nan -nan
-6.000000 2.048886 0.000000 -nan -nan -nan -nan
-6.000000 2.098236 0.000000 -nan -nan -nan -nan
-6.000000 2.147647 0.000000 -nan -nan -nan -nan
-6.000000 2.197121 0.000000 -nan -nan -nan -nan
-6.000000 2.246658 0.000000 -nan -nan -nan -nan
-6.000000 2.296260 0.000000 -nan -nan -nan -nan
-6.000000 2.345928 0.000000 -nan -nan -nan -nan
-6.000000 2.395664 0.000000 -nan -nan -nan -nan
-6.000000 2.445468 0.000000 -nan -nan -nan -nan
-6.000000 2.495342 0.000000 -nan -nan -nan -nan
-6.000000 2.545287 0.000000 -nan -nan -nan -nan
-6.000000 2.595304 0.000000 -nan -nan -nan -nan
-6.000000 2.645394 0.000000 -nan -nan -nan -nan
-6.000000 2.695559 0.000000 -nan -nan -nan -nan
-6.000000 2.745800 0.000000 -nan -nan -nan -nan
-6.000000 2.796118 0.000000 -nan -nan -nan -nan
-6.000000 2.846515 0.000000 -nan -nan -nan -nan
-6.000000 2.896990 0.000000 -nan -nan -nan -nan
-6.000000 2.947546 0.000000 -nan -nan -nan -nan
-6.000000 2.998184 0.000000 -nan -nan -nan -nan
-6.000000 3.048904 0.000000 -nan -nan -nan -nan
-6.000000 3.099708 0.000000 -nan -nan -nan -nan
-6.000000 3.150597 0.000000 -nan -nan -nan -nan
-6.000000 3.201572 0.000000 -nan -nan -nan -nan
-6.000000 3.252635 0.000000 -nan -nan -nan -nan
-6.000000 3.303786 0.000000 -nan -nan -nan -nan
-6.000000 3.355026 0.000000 -nan -nan -nan -nan
-6.000000 3.406356 0.000000 -nan -nan -nan -nan
-6.000000 3.457778 0.000000 -nan -nan -nan -nan
-6.000000 3.509292 0.000000 -nan -nan -nan -nan
-6.000000 3.560900 0.000000 -nan -nan -nan -nan
-6.000000 3.612602 0.000000 -nan -nan -nan -nan
-6.000000 3.664400 0.000000 -nan -nan -nan -nan
-6.000000 3.716295 0.000000 -nan -nan -nan -nan
-6.000000 3.768287 0.000000 -nan -nan -nan -nan
-6.000000 3.820378 0.000000 -nan -nan -nan -nan
-6.000000 3.872568 0.000000 -nan -nan -nan -nan
-6.000000 3.924859 0.000000 -nan -nan -nan -nan
-6.000000 3.977251 0.000000 -nan -nan -nan -nan
-6.000000 4.029745 0.000000 -nan -nan -nan -nan
-6.000000 4.082343 0.000000 -nan -nan -nan -nan
